_date,total_views,unique_views
2021-11-02,4,1
2021-11-11,50,1
2021-12-08,4,1
2021-12-11,11,4
2021-12-22,7,1
2022-02-11,3,1
2022-05-04,21,4
2022-05-06,3,2
2022-05-09,4,1
2022-05-13,3,1
2022-05-17,1,1
2022-06-01,1,1
2022-12-09,1,1
2022-12-15,1,1
2022-12-21,1,1
2023-07-13,1,1
2024-03-31,1,1
2024-04-01,1,1
2024-05-30,2,1
2025-09-17,1,1
2025-10-17,1,1
2025-10-22,1,1
2025-12-03,1,1
2025-12-10,1,1
2025-12-25,1,1
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,0,0
2026-01-05,0,0
2026-01-06,0,0
2026-01-07,0,0
2026-01-08,0,0
2026-01-09,0,0
2026-01-10,0,0
2026-01-11,0,0
2026-01-12,0,0
2026-01-13,0,0
2026-01-14,0,0
2026-01-15,0,0
2026-01-16,0,0
2026-01-17,0,0
2026-01-18,0,0
2026-01-19,0,0
2026-01-20,0,0
2026-01-21,0,0
2026-01-22,0,0
2026-01-23,0,0
2026-01-24,0,0
2026-01-25,0,0
2026-01-26,0,0
2026-01-27,0,0
2026-01-28,0,0
2026-01-29,0,0
2026-01-30,0,0
2026-01-31,0,0
2026-02-01,0,0
2026-02-02,0,0
2026-02-03,0,0
2026-02-04,0,0
2026-02-05,0,0
2026-02-06,0,0
2026-02-07,0,0
2026-02-08,0,0
2026-02-09,0,0
2026-02-10,0,0
2026-02-11,0,0
2026-02-12,0,0
2026-02-13,0,0
